bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
27000,50,10,20,0.931833333,4.63316
27000,50,10,30,0.935,7.076472
27000,50,10,40,0.940166667,9.544222
27000,50,10,50,0.941833333,11.573013
27000,50,10,100,0.945,23.665219
27000,50,15,10,0.937,3.248224
27000,50,15,20,0.950333333,6.248535
27000,50,15,30,0.954333333,9.611009
27000,50,15,40,0.958,12.316775
27000,50,15,50,0.958833333,15.392454
27000,50,15,100,0.960833333,30.734386
27000,50,20,10,0.941166667,3.452834
27000,50,20,20,0.957,6.594555
27000,50,20,30,0.961166667,9.721853
27000,50,20,40,0.962333333,12.637743
27000,50,20,50,0.964166667,16.34872
27000,50,20,100,0.964333333,31.997974
27000,50,25,10,0.9425,3.58938
27000,50,25,20,0.955166667,6.898136
27000,50,25,30,0.957166667,10.18014
27000,50,25,40,0.958833333,14.099675
27000,50,25,50,0.960833333,17.652598
27000,50,25,100,0.961666667,34.006498
27000,100,5,10,0.801333333,2.105615
27000,100,5,20,0.821666667,3.965879
27000,100,5,30,0.8305,6.512701
27000,100,5,40,0.8295,8.147505
27000,100,5,50,0.835333333,9.558753
27000,100,5,100,0.841333333,19.393186
27000,100,10,10,0.925166667,4.906989
27000,100,10,20,0.937,9.160194
27000,100,10,30,0.94,13.772766
27000,100,10,40,0.9425,17.484959
27000,100,10,50,0.944,21.770469
27000,100,10,100,0.947,44.232076
27000,100,15,10,0.939333333,5.814189
27000,100,15,20,0.952166667,11.488738
27000,100,15,30,0.957,17.293039
27000,100,15,40,0.9575,22.989416
27000,100,15,50,0.959333333,28.6484
27000,100,15,100,0.9605,57.47689
27000,100,20,10,0.942833333,6.181962
27000,100,20,20,0.954333333,12.11364
27000,100,20,30,0.957833333,18.277148
27000,100,20,40,0.957833333,24.909501
27000,100,20,50,0.958833333,29.979897
27000,100,20,100,0.961666667,60.135095
27000,100,25,10,0.942,6.904302
27000,100,25,20,0.957333333,12.564732
27000,100,25,30,0.961333333,18.47991
27000,100,25,40,0.962333333,24.689626
27000,100,25,50,0.963166667,30.7303
27000,100,25,100,0.9635,63.211366
27000,100,25,150,0.963833333,99.025765
27000,100,25,200,0.965166667,134.895542
