bootstrap_size;no_features;max_depth;no_trees;Accuracy;Seed set
13500;100;25;200;0,963666667;1
27000;10;5;10;0,539833333;1
27000;10;5;20;0,592333333;1
27000;10;5;30;0,6105;1
27000;10;5;40;0,616333333;1
27000;10;5;50;0,633666667;1
27000;10;5;100;0,649833333;1
27000;10;10;10;0,571;1
27000;10;10;20;0,636166667;1
27000;10;10;30;0,647333333;1
27000;10;10;40;0,647833333;1
27000;10;10;50;0,667;1
27000;10;10;100;0,686666667;1
27000;10;15;10;0,5425;1
27000;10;15;20;0,608333333;1
27000;10;15;30;0,625166667;1
27000;10;15;40;0,627166667;1
27000;10;15;50;0,6535;1
27000;10;15;100;0,6695;1
27000;10;20;10;0,759333333;1
27000;10;20;20;0,85;1
27000;10;20;30;0,859333333;1
27000;10;20;40;0,626666667;1
27000;10;20;50;0,646;1
27000;10;20;100;0,670666667;1
27000;10;25;10;0,533;1
27000;10;25;20;0,5995;1
27000;10;25;30;0,618666667;1
27000;10;25;40;0,625333333;1
27000;10;25;50;0,643833333;1
27000;10;25;100;0,672666667;1
27000;20;5;10;0,657833333;1
27000;20;5;20;0,741666667;1
27000;20;5;30;0,7535;1
27000;20;5;40;0,755833333;1
27000;20;5;50;0,7585;1
27000;20;5;100;0,785833333;1
27000;20;10;10;0,762;1
27000;20;10;20;0,846166667;1
27000;20;10;30;0,856333333;1
27000;20;10;40;0,861833333;1
27000;20;10;50;0,867333333;1
27000;20;10;100;0,88;1
27000;20;15;10;0,759333333;1
27000;20;15;20;0,85;1
27000;20;15;30;0,859333333;1
27000;20;15;40;0,868;1
27000;20;15;50;0,877833333;1
27000;20;15;100;0,892833333;1
27000;20;20;10;0,759166667;1
27000;20;20;20;0,844833333;1
27000;20;20;30;0,863333333;1
27000;20;20;40;0,8745;1
27000;20;20;50;0,882833333;1
27000;20;20;100;0,902;1
27000;20;25;10;0,758666667;1
27000;20;25;20;0,847666667;1
27000;20;25;30;0,8635;1
27000;20;25;40;0,8755;1
27000;20;25;50;0,883166667;1
27000;20;25;100;0,903333333;1
27000;30;5;10;0,7235;1
27000;30;5;20;0,779;1
27000;30;5;30;0,798333333;1
27000;30;5;40;0,810333333;1
27000;30;5;50;0,808;1
27000;30;5;100;0,8235;1
27000;30;10;10;0,849166667;1
27000;30;10;20;0,894833333;1
27000;30;10;30;0,908333333;1
27000;30;10;40;0,917;1
27000;30;10;50;0,919333333;1
27000;30;10;100;0,925833333;1
27000;30;15;10;0,86;1
27000;30;15;20;0,904666667;1
27000;30;15;30;0,9195;1
27000;30;15;40;0,925166667;1
27000;30;15;50;0,9285;1
27000;30;15;100;0,939;1
27000;30;20;10;0,8485;1
27000;30;20;20;0,900666667;1
27000;30;20;30;0,919;1
27000;30;20;40;0,924833333;1
27000;30;20;50;0,931666667;1
27000;30;20;100;0,943;1
27000;30;25;10;0,852333333;1
27000;30;25;20;0,900666667;1
27000;30;25;30;0,917833333;1
27000;30;25;40;0,925833333;1
27000;30;25;50;0,932333333;1
27000;30;25;100;0,944166667;1
27000;40;5;10;0,742666667;1
27000;40;5;20;0,802333333;1
27000;40;5;30;0,819666667;1
27000;40;5;40;0,825833333;1
27000;40;5;50;0,827166667;1
27000;40;5;100;0,844;1
27000;40;10;10;0,8845;1
27000;40;10;20;0,920666667;1
27000;40;10;30;0,926166667;1
27000;40;10;40;0,931666667;1
27000;40;10;50;0,934333333;1
27000;40;10;100;0,939;1
27000;40;15;10;0,890833333;1
27000;40;15;20;0,929;1
27000;40;15;30;0,939833333;1
27000;40;15;40;0,946333333;1
27000;40;15;50;0,948833333;1
27000;40;15;100;0,953666667;1
27000;40;20;10;0,894833333;1
27000;40;20;20;0,929666667;1
27000;40;20;30;0,9415;1
27000;40;20;40;0,9485;1
27000;40;20;50;0,9505;1
27000;40;20;100;0,955833333;1
27000;40;25;10;0,895166667;1
27000;40;25;20;0,930833333;1
27000;40;25;30;0,9415;1
27000;40;25;40;0,948666667;1
27000;40;25;50;0,9495;1
27000;40;25;100;0,956333333;1
27000;50;5;10;0,762;1
27000;50;5;20;0,8135;1
27000;50;5;30;0,8265;1
27000;50;5;40;0,831833333;1
27000;50;5;50;0,84;1
27000;50;5;100;0,85;1
27000;50;10;10;0,897166667;1
27000;50;10;20;0,923833333;1
27000;50;10;30;0,9325;1
27000;50;10;40;0,9395;1
27000;50;10;50;0,940833333;1
27000;50;10;100;0,942166667;1
27000;50;15;10;0,903666667;1
27000;50;15;20;0,94;1
27000;50;15;30;0,948333333;1
27000;50;15;40;0,953833333;1
27000;50;15;50;0,954166667;1
27000;50;15;100;0,9595;1
27000;50;20;10;0,907;1
27000;50;20;20;0,943;1
27000;50;20;30;0,948833333;1
27000;50;20;40;0,953666667;1
27000;50;20;50;0,954333333;1
27000;50;20;100;0,960833333;1
27000;50;25;10;0,906666667;1
27000;50;25;20;0,943666667;1
27000;50;25;30;0,950166667;1
27000;50;25;40;0,952666667;1
27000;50;25;50;0,9545;1
27000;50;25;100;0,962166667;1
27000;100;5;10;0,791666667;1
27000;100;5;20;0,8295;1
27000;100;5;30;0,841833333;1
27000;100;5;40;0,846166667;1
27000;100;5;50;0,846333333;1
27000;100;5;100;0,847333333;1
27000;100;10;10;0,930666667;1
27000;100;10;20;0,9465;1
27000;100;10;30;0,948333333;1
27000;100;10;40;0,948666667;1
27000;100;10;50;0,952;1
27000;100;10;100;0,9525;1
27000;100;15;10;0,943166667;1
27000;100;15;20;0,958;1
27000;100;15;30;0,962333333;1
27000;100;15;40;0,962166667;1
27000;100;15;50;;1
27000;100;15;100;;1
27000;100;20;10;0,945166667;1
27000;100;20;20;0,959166667;1
27000;100;20;30;0,963333333;1
27000;100;20;40;0,963666667;1
27000;100;20;50;0,9665;1
27000;100;20;100;0,9675;1
27000;100;25;10;;1
27000;100;25;20;;1
27000;100;25;30;;1
27000;100;25;40;;1
27000;100;25;50;0,9665;1
27000;100;25;100;0,967666667;1
27000;100;25;150;0,969333333;1
27000;100;25;200;0,97;1
